_heading,year,_year_done,_description,_dimensions,id,keywords
"Cemetery and Chapel, Valdemarsvik",1917,1917,"The chapel, undated photos",no_size,ARKM.1973-103-1226,keyword
"Cemetery and Chapel, Valdemarsvik",1917,1917,"The chapel, undated photos",no_size,ARKM.1973-103-092-02,keyword
"Cemetery and Chapel, Valdemarsvik",1917,1917,"The chapel, undated photos",no_size,ARKM.1973-103-092-01,keyword
"Cemetery and Chapel, Valdemarsvik",1917,1917,"Plan, elevation and section, pencil on tracing paper, ca. 1917, 57×60 cm",57×60 cm,ARKM.1973-05-08332,keyword
"Cemetery and Chapel, Valdemarsvik",1917,1917,"Elevation sketches, pencil on tracing paper, ca. 1917, 50×60 cm",50×60 cm,ARKM.1973-05-08302,keyword
"Cemetery and Chapel, Valdemarsvik",1917,1917,"Truss drawing, pencil and crayon on tracing paper, 1917, 48×37 cm",48×37 cm,ARKM.1973-05-08331,keyword
"Workers’ Housing, Helsingborg",1918,1918,"Neighbourhood from southwest, photo, ca. 1918",no_size,ARKM.1973-103-021-2312,keyword
"Workers’ Housing, Helsingborg",1918,1918,"Plans, section and elevations, blueprint, 1917, 43×52 cm",43×52 cm,ARKM.1973-05-01444,keyword
"Götaplatsen, Gothenburg",1918,1918,"Site plan, competition panel, ink, pencil and crayon on cardboard, Ragnar Hjorth, Sigurd Lewerentz and Ture Ryberg, 1918, 76×57 cm",76×57 cm,ARKM.1973-05-08024,keyword
"Götaplatsen, Gothenburg",1918,1918,"Section and elevation, ink, pencil and crayon on cardboard, Ragnar Hjorth, Sigurd Lewerentz and Ture Ryberg, 1918, 69×50 cm",69×50 cm,ARKM.1973-05-08026,keyword
"Cemetery and Chapel, Forsbacka",1919,1919,"Elevation sketch, pencil on tracing paper, ca. 1919, 40×34 cm",40×34 cm,ARKM.1973-05-05500,keyword
"Cemetery and Chapel, Forsbacka",1919,1919,"Elevation sketch, pencil on tracing paper, ca. 1919, 31×25 cm",31×25 cm,ARKM.1973-05-05498,keyword
"Cemetery and Chapel, Forsbacka",1919,1919,"Elevation sketch, pencil on tracing paper, ca. 1919, 42×27 cm",42×27 cm,ARKM.1973-05-05499,keyword
"Cemetery and Chapel, Forsbacka",1919,1919,"Elevation sketch, pencil on tracing paper, ca. 1919, 32×24 cm",32×24 cm,ARKM.1973-05-05497,keyword
"Cemetery and Chapel, Forsbacka",1919,1919,"Main elevation, ink on tracing paper, 1919, 39×39 cm",39×39 cm,ARKM.1973-05-05538,keyword
"Cemetery and Chapel, Forsbacka",1919,1919,"Section, ink on tracing paper, 1919, 39×39 cm",39×39 cm,ARKM.1973-05-05540,keyword
"Cemetery and Chapel, Forsbacka",1919,1919,"Section, ink on tracing paper, 1919, 39×39 cm",39×39 cm,ARKM.1973-05-05542,keyword
"Cemetery and Chapel, Forsbacka",1919,1919,"Main floor plan, ink on tracing paper, 1919, 39×39 cm",39×39 cm,ARKM.1973-05-05537,keyword
"Rud Cemetery, Karlstad",1919,1919,"Site plan, elevation and ground section, ink, crayon and pencil on tracing paper, ca. 1919, 77×155 cm",77×155 cm,ARKM.1973-05-08166,keyword
"Wallpaper Factory, Gothenburg",1919,1919,"Street elevation, pencil on tracing paper, 1919, 12×30 cm",12×30 cm,ARKM.1973-05-02199,keyword
"Wallpaper Factory, Gothenburg",1919,1919,"Rear elevation, pencil on tracing paper, 1919, 12×30 cm",12×30 cm,ARKM.1973-05-02198,keyword
"Wallpaper Factory, Gothenburg",1919,1919,"Ground floor plan, pencil on tracing paper, 1919, 12×30 cm",12×30 cm,ARKM.1973-05-02200,keyword
"Wallpaper Factory, Gothenburg",1919,1919,"First floor plan, pencil on tracing paper, 1919, 12×30 cm",12×30 cm,ARKM.1973-05-02201,keyword
"Wallpaper Factory, Gothenburg",1919,1919,"Long section, pencil on tracing paper, 1919, 12×30 cm",12×30 cm,ARKM.1973-05-02202,keyword
"Wallpaper Factory, Gothenburg",1919,1919,"Cross section, pencil on tracing paper, 1919, 12×30 cm",12×30 cm,ARKM.1973-05-02203,keyword
"Urban Plan, Röda Bergen, Stockholm",1921,1921,"Plan map, crayon on copy, 1921, 51×61 cm",51×61 cm,ARKM.1973-05-00032,keyword
"Urban Plan, Röda Bergen, Stockholm",1921,1921,"Sections and elevations, crayon on copy, 1921, 51×61 cm",51×61 cm,ARKM.1973-05-00033,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-168,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-027,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-120,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-105,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-110,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-139,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-175,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-127,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-112,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-114,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-171,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-003,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-039,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-037,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-069,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-034,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-172,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-015,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-057,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-121,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-185,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-177,keyword
"Travel Photos, Italy",1922,1922,"Sigurd Lewerentz travel photos from Florence, Rome and Pompeii, etc. 1922.",no_size,ARKM.1973-103-150-137,keyword
"Swedish Cremation Society Pavilion, Gothenburg Exhibition",1923,1923,"Main terrace with the exhibition pavilion in the background, photo, 1923",no_size,EX.16-02,keyword
"Swedish Cremation Society Pavilion, Gothenburg Exhibition",1923,1923,"View from exhibition pavilion, photo, 1923",no_size,EX.16-03,keyword
"Swedish Cremation Society Pavilion, Gothenburg Exhibition",1923,1923,"Terrace with headstones, photo, 1923",no_size,EX.16-04,keyword
"Swedish Cremation Society Pavilion, Gothenburg Exhibition",1923,1923,"Terraces with stairs from north, photo, 1923",no_size,EX.16-01,keyword
"Swedish Cremation Society Pavilion, Gothenburg Exhibition",1923,1923,"Site plan, pencil on tracing paper, 1923, 38×27 cm",38×27 cm,ARKM.1973-05-04717,keyword
"Cemetery, Chapel and Belfry, Borlänge",1924,1924,"Elevation of chapel and belfry, pencil on tracing paper, 1924, 25×56 cm",25×56 cm,ARKM.1973-05-05734,keyword
"Cemetery, Chapel and Belfry, Borlänge",1924,1924,"Rear elevation and section, pencil on tracing paper, 1924, 25×56 cm",25×56 cm,ARKM.1973-05-05736,keyword
"Cemetery, Chapel and Belfry, Borlänge",1924,1924,"Long section, pencil on tracing paper, 1924, 26×56 cm",26×56 cm,ARKM.1973-05-05738,keyword
"Cemetery, Chapel and Belfry, Borlänge",1924,1924,"Chapel and belfry, photo, ca. 1924",no_size,ARKM.1973-103-040,keyword
"Cemetery, Chapel and Belfry, Borlänge",1924,1924,"The portico and the belfry, photo, ca. 1924",no_size,ARKM.1973-103-090-01,keyword
"Cemetery, Chapel and Belfry, Borlänge",1924,1924,"The chapel under construction, photo, ca. 1924",no_size,ARKM.1973-103-090,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Model of the Resurrection Chapel, photo, ca. 1924",no_size,ARKM.1973-103-084-069,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Drawing of entrance door, pencil on tracing paper, 1924, 38×48 cm",38×48 cm,ARKM.1973-05-08900,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Site plan sketch, pencil on tracing paper, ca. 1921, 44×50 cm",44×50 cm,ARKM.1973-05-08649,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Site plan sketch, pencil on tracing paper, ca. 1921, 43×46 cm",43×46 cm,ARKM.1973-05-08652,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Elevation studies of portico, pencil, crayon and ink on tracing paper, ca. 1924, 27×22 cm",27×22 cm,ARKM.1973-05-08686,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Elevation studies of portico, pencil, crayon and ink on tracing paper, ca. 1924.24×21 cm",24×21 cm,ARKM.1973-05-08687,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Elevation studies of portico, pencil, crayon and ink on tracing paper, ca. 1924.24×19 cm",24×19 cm,ARKM.1973-05-08689,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Elevation studies of portico, pencil, crayon and ink on tracing paper, ca. 1924.23×22 cm",23×22 cm,ARKM.1973-05-08688,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Elevation studies of portico, pencil, crayon and ink on tracing paper, ca. 1924.25×20 cm",25×20 cm,ARKM.1973-05-08690,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Elevation studies of portico, pencil, crayon and ink on tracing paper, ca. 1924.24×20 cm",24×20 cm,ARKM.1973-05-08694,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Elevation studies of portico, pencil, crayon and ink on tracing paper, ca. 1924.23×19 cm",23×19 cm,ARKM.1973-05-08691,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Elevation studies of portico, pencil, crayon and ink on tracing paper, ca. 1924.23×19 cm",23×19 cm,ARKM.1973-05-08695,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Plan with elevation, ink on cardboard, ca. 1924, 53×41 cm",53×41 cm,ARKM.1973-05-08762,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Plan, ink on cardboard, ca. 1924, 38×54 cm",38×54 cm,ARKM.1973-05-08763,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"West elevation, ink on cardboard, ca. 1924, 33×48 cm",33×48 cm,ARKM.1973-05-08765,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"North elevation, photographic plate, ca. 1925, 9×12 cm",9×12 cm,ARKM.1985-107-0160,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Plan, photographic plate, ca. 1925, 9×12 cm",9×12 cm,ARKM.1985-107-0159,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Cross section, photographic plate, ca. 1925, 9×12 cm",9×12 cm,ARKM.1985-107-0161,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Altar baldachin with frieze by Karl Dahlqvist, photo, ca. 1925",no_size,ARKM.1973-103-084-029,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Chapel from the east, photo, ca. 1925",no_size,ARKM.1973-103-084-021,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Detail of entrance portico, photo, ca. 1925",no_size,ARKM.1973-103-084-055,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Sand box, photo, ca. 1925",no_size,ARKM.1973-103-084-033,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Chapel interior, photo, ca. 1925",no_size,ARKM.1973-103-084-044,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Burial field with the chapel of rest in the background, photo, ca. 1925",no_size,ARKM.1973-103-1186,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Interior of clergyman’s office, photo, ca. 1925",no_size,ARKM.1973-103-084-081,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Interior of mourners’ room, photo, ca. 1925",no_size,ARKM.1973-103-084-065,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Portico in front of chapel of rest, photo, ca. 1925",no_size,ARKM.1973-103-084-024,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Interior of chapel of rest, photo, ca. 1925",no_size,ARKM.1973-103-084-027,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"The Path of the Seven Wells, photo, ca. 1925",no_size,ARKM.1973-103-084-054,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,Chair for the chapel,no_size,ARKM.1985-223-01,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Drawing of clergyman’s chair, pencil on tracing paper, 1925, 29×22 cm",29×22 cm,ARKM.1973-05-09151,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Drawing of chair, 1:1, crayon on tracing paper, 1925, 109×91 cm",109×91 cm,ARKM.1973-05-09185,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Chair sketches, pencil on paper, ca. 1925, 30×22 cm",30×22 cm,ARKM.1973-05-09053,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Interior perspective, pencil on tracing paper, ca. 1925, 25×16 cm",25×16 cm,ARKM.1973-05-09038,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,"Drawing of sofa for mourners’ room, pencil on tracing paper, 1925, 23×23 cm",23×23 cm,ARKM.1973-05-09127,keyword
"Resurrection Chapel, Woodland Cemetery, Stockholm",1925,1925,Bench for mourners’ room,no_size,_M3A1539 (1),keyword
"Theatre and Concert Hall, Malmö",1927,1927,"Interior perspective, feasibility study, ink on tracing paper, ca. 1926, 30×35 cm",30×35 cm,ARKM.1973-05-07772,keyword
"Theatre and Concert Hall, Malmö",1927,1927,"Rear elevation, ink on tracing paper, 1926, 26×30 cm",26×30 cm,ARKM.1973-05-07756,keyword
"Theatre and Concert Hall, Malmö",1927,1927,"Side elevation, ink on tracing paper, 1926, 25×30 cm",25×30 cm,ARKM.1973-05-07757,keyword
"Theatre and Concert Hall, Malmö",1927,1927,"Plan of mezzanine floor, ink on tracing paper, 1926, 25×30 cm",25×30 cm,ARKM.1973-05-07754,keyword
"Theatre and Concert Hall, Malmö",1927,1927,"Long section, ink on tracing paper, 1926, 24×30 cm",24×30 cm,ARKM.1973-05-07763,keyword
"Cemetery, Kviberg, Gothenburg",1927,1927,"Layout plan with topographical contours, competition proposal, ink and ink wash on paper, 1927, 84×78 cm",84×78 cm,EX.05-03,keyword
"Cemetery, Kviberg, Gothenburg",1927,1927,"Perspective of the west entrance, ink wash on tracing paper mounted on paper, 1927, 37×38 cm",37×38 cm,EX.05-08,keyword
"Cemetery, Kviberg, Gothenburg",1927,1927,"Perspective of burial field, ink wash on tracing paper mounted on paper, 1927, 37×38 cm",37×38 cm,EX.05-11,keyword
"Cemetery, Kviberg, Gothenburg",1927,1927,"Perspective of main road, ink wash on tracing paper mounted on paper, 1927, 37×38 cm",37×38 cm,EX.05-06,keyword
"Cemetery, Kviberg, Gothenburg",1927,1927,"Perspective of burial field, ink wash on tracing paper mounted on paper, 1927, 37×38 cm",37×38 cm,EX.05-15,keyword
"Cemetery, Kviberg, Gothenburg",1927,1927,"Perspective of burial field, ink wash on tracing paper mounted on paper, 1927, 37×38 cm",37×38 cm,EX.05-16,keyword
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Perspective, ink on tracing paper (drawing for zincograph), 1923, 56×90 cm",56×90 cm,ARKM.1973-05-09565,keyword
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Section of chapel and chapel of rest, pencil on tracing paper, 1926, 29×47 cm",29×47 cm,ARKM.1973-05-09919,keyword
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Layout of tiled flooring, chapel and chapel of rest, pencil on tracing paper, 1926, 26×51 cm",26×51 cm,ARKM.1973-05-09898,keyword
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Central path with chapel and chapel of rest, photo, ca. 1927",no_size,ARKM.1973-103-925,keyword
